model,cohort,auc,ci_lo,ci_hi,n
species_rf,FengQ_2015,0.837847469707769,0.7488567362428843,0.9154477229136001,107
species_rf,ThomasAM_2018a,0.7341954022988505,0.5863597178683385,0.8592595744309451,53
species_rf,ThomasAM_2018b,0.8013392857142857,0.6822198340874812,0.9083814532487077,60
species_rf,ThomasAM_2019_c,0.828125,0.729271875,0.9174773295629308,80
species_rf,VogtmannE_2016,0.7303994082840236,0.6234840029761904,0.8162014324960754,104
species_rf,YuJ_2015,0.8676176176176177,0.8031346822244291,0.9250559648684649,128
species_rf,ZellerG_2014,0.8209093721002165,0.7331466071599143,0.8955315870570107,114
species_rf,pooled,0.8096146472392639,0.7766148190878746,0.8408767870418293,646
joint_rf,FengQ_2015,0.8485388453314326,0.771984415826801,0.9179614735258733,107
joint_rf,ThomasAM_2018a,0.814655172413793,0.6752855142941349,0.9272518732893615,53
joint_rf,ThomasAM_2018b,0.7734375000000001,0.6411075517075518,0.8842670634920634,60
joint_rf,ThomasAM_2019_c,0.750625,0.6396802916310261,0.8548288445723683,80
joint_rf,VogtmannE_2016,0.7167159763313609,0.611909758515589,0.8096328843139746,104
joint_rf,YuJ_2015,0.7605105105105106,0.6732830559098208,0.836810475708502,128
joint_rf,ZellerG_2014,0.8304979894834519,0.7434822394867038,0.9047866782128284,114
joint_rf,pooled,0.7755080521472393,0.7398520517988126,0.8088521130873341,646
joint_xgb,FengQ_2015,0.8193157519600855,0.731513121725485,0.8996682609213896,107
joint_xgb,ThomasAM_2018a,0.7830459770114943,0.65,0.8928571428571429,53
joint_xgb,ThomasAM_2018b,0.7790178571428571,0.6491320185986853,0.8945152792809041,60
joint_xgb,ThomasAM_2019_c,0.806875,0.7083333333333334,0.9010104417234159,80
joint_xgb,VogtmannE_2016,0.713387573964497,0.6055580516940909,0.8103896103896103,104
joint_xgb,YuJ_2015,0.80005005005005,0.7229519034549133,0.8713671092967967,128
joint_xgb,ZellerG_2014,0.7871945561398082,0.6918805034222246,0.8675345362957488,114
joint_xgb,pooled,0.7809815950920245,0.7467829227648569,0.8144004956696654,646
