prev_threshold,mean_threshold,n_pathways_mean,n_features_mean,mean_auc,std_auc
0.05,1e-07,438.57142857142856,685.5714285714286,0.7851409638539634,0.039427104114897894
0.05,1e-06,405.85714285714283,652.8571428571429,0.789430279659943,0.04355293674153172
0.05,1e-05,314.7142857142857,561.7142857142857,0.7732033017330764,0.032519498967764245
0.05,0.0001,147.42857142857142,394.42857142857144,0.7834134785774293,0.036643395279345854
0.05,0.001,2.0,249.0,0.8108111886512671,0.044640969612489534
0.1,1e-07,426.57142857142856,673.5714285714286,0.7862345427131581,0.04081580505803902
0.1,1e-06,404.14285714285717,651.1428571428571,0.7849972848672212,0.04402021634181483
0.1,1e-05,314.7142857142857,561.7142857142857,0.7732033017330764,0.032519498967764245
0.1,0.0001,147.42857142857142,394.42857142857144,0.7834134785774293,0.036643395279345854
0.1,0.001,2.0,249.0,0.8108111886512671,0.044640969612489534
0.15,1e-07,411.57142857142856,658.5714285714286,0.7826349709032003,0.03386829171024421
0.15,1e-06,400.57142857142856,647.5714285714286,0.7812292729053383,0.041538954949018964
0.15,1e-05,314.7142857142857,561.7142857142857,0.7732033017330764,0.032519498967764245
0.15,0.0001,147.42857142857142,394.42857142857144,0.7834134785774293,0.036643395279345854
0.15,0.001,2.0,249.0,0.8108111886512671,0.044640969612489534
0.2,1e-07,395.57142857142856,642.5714285714286,0.7838281572642323,0.03614491977564901
0.2,1e-06,389.7142857142857,636.7142857142857,0.7786347978949154,0.04203587920184575
0.2,1e-05,314.7142857142857,561.7142857142857,0.7732033017330764,0.032519498967764245
0.2,0.0001,147.42857142857142,394.42857142857144,0.7834134785774293,0.036643395279345854
0.2,0.001,2.0,249.0,0.8108111886512671,0.044640969612489534
