feature,mean_abs_shap
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,0.013152234294440986
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,0.011701131573733498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,0.01132483653739408
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,0.007565827349917754
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),0.006239805289150065
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,0.0058726695046676
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),0.005777018413883157
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.005765162390783647
COA-PWY: coenzyme A biosynthesis I,0.005684886344926864
GLUTORN-PWY: L-ornithine biosynthesis,0.00561253788097418
PWY-7400: L-arginine biosynthesis IV (archaebacteria),0.005546052068109301
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.005527834506944344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae,0.005147641753011744
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",0.004466473129015757
P163-PWY: L-lysine fermentation to acetate and butanoate,0.004436091822807492
PWY-4242: pantothenate and coenzyme A biosynthesis III,0.004246322431760575
PWY-6151: S-adenosyl-L-methionine cycle I,0.004152780046147747
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),0.004138173379535078
PWY-6263: superpathway of menaquinol-8 biosynthesis II,0.004063523216273969
PWY-2941: L-lysine biosynthesis II,0.004018958814233155
PWY0-1296: purine ribonucleosides degradation,0.0040157508069032805
PWY-7111: pyruvate fermentation to isobutanol (engineered),0.0037132368576158763
P108-PWY: pyruvate fermentation to propanoate I,0.003642116875267672
TRPSYN-PWY: L-tryptophan biosynthesis,0.0035763388930705386
PWY-5392: reductive TCA cycle II,0.003488065180147156
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.0034288679835018173
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium,0.003316323392838744
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,0.0032835970609411983
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.0032695573355683814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens,0.003190300091702955
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,0.0029320558039588546
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus,0.002881973548167943
VALSYN-PWY: L-valine biosynthesis,0.002818938450353221
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,0.0028131871657622164
PWY-5677: succinate fermentation to butanoate,0.0027709185199379497
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),0.002654492422713318
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0.0026432876201084284
PWY-5100: pyruvate fermentation to acetate and lactate II,0.002643130171031229
PWY-1042: glycolysis IV (plant cytosol),0.0026360683207605944
COA-PWY-1: coenzyme A biosynthesis II (mammalian),0.0026279222338524864
PWY-6527: stachyose degradation,0.0025455910419649964
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,0.002538475396024254
PWY-7219: adenosine ribonucleotides de novo biosynthesis,0.00245165493596384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_citroniae,0.0024174543337222927
