feature,mean_abs_shap
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,0.4874696
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.4161831
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0.3896544
PWY-5265: peptidoglycan biosynthesis II (staphylococci),0.3069488
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0.29348472
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,0.2709956
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,0.27037546
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.22632468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.21358864
P23-PWY: reductive TCA cycle I,0.21243209
PWY66-399: gluconeogenesis III,0.21067396
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens,0.21003497
PWY-5677: succinate fermentation to butanoate,0.20624638
PWY-6263: superpathway of menaquinol-8 biosynthesis II,0.19808912
PWY0-1296: purine ribonucleosides degradation,0.17711973
PWY-6549: L-glutamine biosynthesis III,0.1756631
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,0.1652518
PWY-6595: superpathway of guanosine nucleotides degradation (plants),0.1635679
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),0.16236357
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,0.15849078
PWY-2941: L-lysine biosynthesis II,0.1575588
PWY-621: sucrose degradation III (sucrose invertase),0.15147534
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris,0.15022933
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,0.14317842
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),0.13796575
PWY-5505: L-glutamate and L-glutamine biosynthesis,0.1334915
P124-PWY: Bifidobacterium shunt,0.12579878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,0.12414596
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.122555666
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,0.11722413
CENTFERM-PWY: pyruvate fermentation to butanoate,0.116905086
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,0.116045795
PWY-5392: reductive TCA cycle II,0.115736015
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,0.11363241
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.110095225
PWY-7234: inosine-5'-phosphate biosynthesis III,0.10513084
THRESYN-PWY: superpathway of L-threonine biosynthesis,0.10418049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,0.10264489
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium,0.10200998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,0.10198322
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,0.10045099
